"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"171","107","Noche",1,0.00671140939597315,"Muy bajo"
"172","107","Tarde",2,0.0134228187919463,"Bajo"
"173","1070","Madrugada",2,0.0134228187919463,"Bajo"
"174","1070","Mañana",2,0.0134228187919463,"Bajo"
"175","1070","Noche",2,0.0134228187919463,"Bajo"
"176","1070","Tarde",2,0.0134228187919463,"Bajo"
"177","1071","Mañana",2,0.0134228187919463,"Bajo"
"178","1071","Tarde",2,0.0134228187919463,"Bajo"
"179","1072","Madrugada",2,0.0134228187919463,"Bajo"
"180","1072","Noche",1,0.00671140939597315,"Muy bajo"
"181","1073","Mañana",4,0.0268456375838926,"Bajo"
"182","1073","Tarde",5,0.0335570469798658,"Bajo"
"183","1075","Madrugada",1,0.00671140939597315,"Muy bajo"
"184","1075","Tarde",3,0.0201342281879195,"Bajo"
"185","1076","Madrugada",3,0.0201342281879195,"Bajo"
"186","1076","Mañana",3,0.0201342281879195,"Bajo"
"187","1076","Noche",1,0.00671140939597315,"Muy bajo"
"188","1076","Tarde",3,0.0201342281879195,"Bajo"
"189","1077","Madrugada",2,0.0134228187919463,"Bajo"
"190","1077","Mañana",2,0.0134228187919463,"Bajo"
"191","1077","Noche",1,0.00671140939597315,"Muy bajo"
"192","1077","Tarde",2,0.0134228187919463,"Bajo"
"193","1078","Mañana",3,0.0201342281879195,"Bajo"
"194","1078","Noche",4,0.0268456375838926,"Bajo"
"195","1078","Tarde",4,0.0268456375838926,"Bajo"
"196","1079","Madrugada",4,0.0268456375838926,"Bajo"
"197","1079","Mañana",1,0.00671140939597315,"Muy bajo"
"198","1079","Noche",2,0.0134228187919463,"Bajo"
"199","108","Madrugada",2,0.0134228187919463,"Bajo"
"200","1080","Madrugada",1,0.00671140939597315,"Muy bajo"
"201","1080","Mañana",2,0.0134228187919463,"Bajo"
"202","1080","Tarde",2,0.0134228187919463,"Bajo"
"203","1081","Madrugada",6,0.0402684563758389,"Bajo"
"204","1081","Mañana",1,0.00671140939597315,"Muy bajo"
"205","1081","Noche",1,0.00671140939597315,"Muy bajo"
"206","1081","Tarde",2,0.0134228187919463,"Bajo"
"207","1082","Madrugada",2,0.0134228187919463,"Bajo"
"208","1082","Mañana",3,0.0201342281879195,"Bajo"
"209","1082","Noche",2,0.0134228187919463,"Bajo"
